Longitude,Latitude,OBJECTID,STSSN_ID,YEAR_,MONTH_,DAY_,Commonname,County,CONDITION,CLSL,CWSL,CLOC,CWOC
-80.69330292,28.73470541,52349,KRK2003082801,2003,8,28,Green turtle,Brevard,Severely decomposed,0,0,30.5,25.4
-81.12880307,29.48500558,52350,LAO2003082801,2003,8,28,Green turtle,Flagler,Severely decomposed,0,0,33,27
-80.96380301,29.1439055,52351,MRM2003082801,2003,8,28,Green turtle,Volusia,Moderately decomposed,43.4,34.8,46,40.5
-80.56360287,28.43750534,52352,ALC2003082901,2003,8,29,Loggerhead,Brevard,Moderately decomposed,0,0,0,69.2
-81.39780318,30.36720578,52353,AWB2003082901,2003,8,29,Loggerhead,Duval,Moderately decomposed,0,0,72,68
-80.60000287,28.33360531,52354,AXS2003082901,2003,8,29,Green turtle,Brevard,Alive,30.4,25.3,0,0
-80.11990266,25.86290471,52355,BJA2003082901,2003,8,29,Green turtle,Miami-Dade,Severely decomposed,0,0,0,0
-81.30590313,29.86910566,52356,DRM2003082901,2003,8,29,Green turtle,St. Johns,Alive,0,0,34.5,29.5
-80.61430288,28.41130533,52357,MMC2003082901,2003,8,29,Loggerhead,Brevard,Moderately decomposed,0,0,96,85.5
-80.90960299,29.07100548,52358,SDK2003082901,2003,8,29,Green turtle,Volusia,Alive,34.4,28.7,35.3,32
-85.13880423,29.6333055,52359,TXP2003082901,2003,8,29,Kemp's ridley,Franklin,Severely decomposed,0,0,0,0
-80.39620279,27.69650516,52360,CXV2003083001,2003,8,30,Green turtle,Indian River,Severely decomposed,0,0,0,0
-80.6589029,28.6917054,52361,DXK2003083001,2003,8,30,Loggerhead,Brevard,Moderately decomposed,0,0,53.3,50.8
-81.41030319,30.4789058,52362,EJS2003083001,2003,8,30,Loggerhead,Duval,Moderately decomposed,0,0,63.5,62.9
-80.14810267,25.72610467,52363,EXL2003083001,2003,8,30,Loggerhead,Miami-Dade,Severely decomposed,0,0,104,66
-80.73720293,28.79720542,52364,MXD2003083001,2003,8,30,Loggerhead,Volusia,Severely decomposed,0,0,0,81.3
-81.2130031,29.67070562,52365,RJD2003083001,2003,8,30,Loggerhead,St. Johns,Dried carcass,0,0,0,0
-80.90100299,29.04960548,52366,SDK2003083001,2003,8,30,Green turtle,Volusia,Severely decomposed,28.2,23.7,30.9,27
-80.87840298,29.01100547,52367,SDK2003083002,2003,8,30,Green turtle,Volusia,Severely decomposed,35.4,30.1,37.3,35.8
-80.54770287,28.50250535,52368,SJF2003083001,2003,8,30,Loggerhead,Brevard,Severely decomposed,0,0,0,0
